Geneid	p_value	p_value_corrected
ENSG00000232682	5.268588615827734e-12	8.326740877884941e-08
ENSG00000260714	5.268588615827734e-12	8.326740877884941e-08
ENSG00000279236	0.00014983186308222365	0.8429643063361534
ENSG00000267724	0.00015075683497660402	0.8429643063361534
ENSG00000221869	0.00015075683497660402	0.8429643063361534
ENSG00000253320	0.0001742170037780481	0.8429643063361534
ENSG00000206647	0.0001898430247776344	0.8429643063361534
ENSG00000272524	0.00025106023013171875	0.8429643063361534
ENSG00000260051	0.00026809978747558956	0.8429643063361534
ENSG00000211888	0.00029090336520019215	0.8429643063361534
ENSG00000180592	0.00032048985418152865	0.8429643063361534
ENSG00000268902	0.0003972635228208278	0.8429643063361534
ENSG00000112343	0.0004924702182188269	0.8429643063361534
ENSG00000259845	0.0005032187771199215	0.8429643063361534
ENSG00000271100	0.0005205163024948816	0.8429643063361534
ENSG00000197381	0.0005271016574474447	0.8429643063361534
ENSG00000109814	0.0005889467777148664	0.8429643063361534
ENSG00000198954	0.000712851828434127	0.8429643063361534
ENSG00000197375	0.0008061389146365669	0.8429643063361534
ENSG00000101190	0.0008070066465971467	0.8429643063361534
ENSG00000226226	0.0008216111955349405	0.8429643063361534
ENSG00000273382	0.0008488615297694617	0.8429643063361534
ENSG00000253813	0.0009994915920345957	0.8429643063361534
ENSG00000141198	0.0010007936683767784	0.8429643063361534
ENSG00000250742	0.0010631571143300872	0.8429643063361534
ENSG00000244219	0.001103466665802097	0.8429643063361534
ENSG00000253409	0.0011383144583808587	0.8429643063361534
ENSG00000173451	0.0012270653829205694	0.8429643063361534
ENSG00000142544	0.0012466663241748805	0.8429643063361534
ENSG00000176055	0.0012980823850123166	0.8429643063361534
ENSG00000227653	0.0012986790174956703	0.8429643063361534
ENSG00000106588	0.0013513839871200268	0.8429643063361534
ENSG00000135828	0.0014451344647721021	0.8429643063361534
ENSG00000198833	0.0015551784649206657	0.8429643063361534
ENSG00000234218	0.00161021078294182	0.8429643063361534
ENSG00000186076	0.0016321242662250804	0.8429643063361534
ENSG00000250508	0.0016744546446052812	0.8429643063361534
ENSG00000130731	0.0018053016869047762	0.8429643063361534
ENSG00000110057	0.0018684910567889773	0.8429643063361534
ENSG00000165175	0.0019059970516645513	0.8429643063361534
ENSG00000015568	0.0019212505601031097	0.8429643063361534
ENSG00000232375	0.001936493408613797	0.8429643063361534
ENSG00000228367	0.001958499247122096	0.8429643063361534
ENSG00000136826	0.0020431981293414286	0.8429643063361534
ENSG00000136367	0.002085741974990539	0.8429643063361534
ENSG00000126254	0.0021887882072764682	0.8429643063361534
ENSG00000113520	0.002204537114342433	0.8429643063361534
ENSG00000231628	0.00221336659963028	0.8429643063361534
ENSG00000187479	0.0022396231961139554	0.8429643063361534
ENSG00000108828	0.0022524905845288695	0.8429643063361534
ENSG00000079313	0.0023318204220196975	0.8429643063361534
ENSG00000255142	0.0023424790887316654	0.8429643063361534
ENSG00000198892	0.0023462187688397095	0.8429643063361534
ENSG00000270030	0.002385194000977602	0.8429643063361534
ENSG00000276126	0.002423070719938479	0.8429643063361534
ENSG00000230433	0.002479220786612735	0.8429643063361534
ENSG00000197744	0.002526406126847161	0.8429643063361534
ENSG00000242797	0.00252670583230938	0.8429643063361534
ENSG00000070423	0.0025432096934102488	0.8429643063361534
ENSG00000216285	0.0025593939654900556	0.8429643063361534
ENSG00000259335	0.0025710403070048735	0.8429643063361534
ENSG00000188883	0.0025727348224572	0.8429643063361534
ENSG00000259982	0.0026743068718246567	0.8429643063361534
ENSG00000147400	0.002714297210064861	0.8429643063361534
ENSG00000227374	0.002717345435667049	0.8429643063361534
ENSG00000265660	0.002729351336219354	0.8429643063361534
ENSG00000224948	0.0027687393136977888	0.8429643063361534
ENSG00000169230	0.0027789430378781688	0.8429643063361534
